"occurrenceID"	"organismID"	"organismName"	"measurementValue"	"measurementType"	"measurementUnit"
"c4cfc770-2421-11e7-a02d-c1c81e3148db"	"c418520d-2421-11e7-a02d-c1c81e3148db"	4219643	210	"Length_left_wing"	"mm"
"c4cfc771-2421-11e7-a02d-c1c81e3148db"	"c418793a-2421-11e7-a02d-c1c81e3148db"	4219645	197	"Length_left_wing"	"mm"
"c4cfc772-2421-11e7-a02d-c1c81e3148db"	"c41a2822-2421-11e7-a02d-c1c81e3148db"	4271202	206	"Length_left_wing"	"mm"
"c4cfef16-2421-11e7-a02d-c1c81e3148db"	"c419d9c5-2421-11e7-a02d-c1c81e3148db"	4271203	202	"Length_left_wing"	"mm"
"c4cfef17-2421-11e7-a02d-c1c81e3148db"	"c419b296-2421-11e7-a02d-c1c81e3148db"	4271204	192	"Length_left_wing"	"mm"
"c4d015e0-2421-11e7-a02d-c1c81e3148db"	"c419d9c4-2421-11e7-a02d-c1c81e3148db"	4271205	202	"Length_left_wing"	"mm"
"c4d015e1-2421-11e7-a02d-c1c81e3148db"	"c41a767c-2421-11e7-a02d-c1c81e3148db"	4271207	200	"Length_left_wing"	"mm"
"c4d03e58-2421-11e7-a02d-c1c81e3148db"	"c41a767e-2421-11e7-a02d-c1c81e3148db"	4271211	191	"Length_left_wing"	"mm"
"c4d03e59-2421-11e7-a02d-c1c81e3148db"	"c41a9da0-2421-11e7-a02d-c1c81e3148db"	4271213	193	"Length_left_wing"	"mm"
"c4d03e5a-2421-11e7-a02d-c1c81e3148db"	"c41a2821-2421-11e7-a02d-c1c81e3148db"	4271214	191	"Length_left_wing"	"mm"
"c4d06554-2421-11e7-a02d-c1c81e3148db"	"c419b297-2421-11e7-a02d-c1c81e3148db"	4271215	191	"Length_left_wing"	"mm"
"c4d06555-2421-11e7-a02d-c1c81e3148db"	"c41a00f2-2421-11e7-a02d-c1c81e3148db"	4271216	187	"Length_left_wing"	"mm"
"c4d08b56-2421-11e7-a02d-c1c81e3148db"	"c4193d22-2421-11e7-a02d-c1c81e3148db"	4271253	199	"Length_left_wing"	"mm"
"c4d08b57-2421-11e7-a02d-c1c81e3148db"	"c4193d21-2421-11e7-a02d-c1c81e3148db"	4271254	204	"Length_left_wing"	"mm"
"c4d08b58-2421-11e7-a02d-c1c81e3148db"	"c41a9da1-2421-11e7-a02d-c1c81e3148db"	4271255	190	"Length_left_wing"	"mm"
"c4d0b3a6-2421-11e7-a02d-c1c81e3148db"	"c41a9da2-2421-11e7-a02d-c1c81e3148db"	4271256	201	"Length_left_wing"	"mm"
"c4d0b3a7-2421-11e7-a02d-c1c81e3148db"	"c4196444-2421-11e7-a02d-c1c81e3148db"	4271257	201	"Length_left_wing"	"mm"
"c4d0b3a8-2421-11e7-a02d-c1c81e3148db"	"c418520e-2421-11e7-a02d-c1c81e3148db"	4271258	200	"Length_left_wing"	"mm"
"c4d0daca-2421-11e7-a02d-c1c81e3148db"	"c418eec5-2421-11e7-a02d-c1c81e3148db"	4271259	191	"Length_left_wing"	"mm"
"c4d0dacb-2421-11e7-a02d-c1c81e3148db"	"c418eec6-2421-11e7-a02d-c1c81e3148db"	4271260	193	"Length_left_wing"	"mm"
"c4d101f8-2421-11e7-a02d-c1c81e3148db"	"c418a05f-2421-11e7-a02d-c1c81e3148db"	4271261	197	"Length_left_wing"	"mm"
"c4d101f9-2421-11e7-a02d-c1c81e3148db"	"c41915f2-2421-11e7-a02d-c1c81e3148db"	4271262	196	"Length_left_wing"	"mm"
"c4d101fa-2421-11e7-a02d-c1c81e3148db"	"c41ac4c4-2421-11e7-a02d-c1c81e3148db"	4271263	204	"Length_left_wing"	"mm"
"c4d1291c-2421-11e7-a02d-c1c81e3148db"	"c418a05e-2421-11e7-a02d-c1c81e3148db"	4271265	204	"Length_left_wing"	"mm"
