organismID	organismName	occurrenceID	sex	lifeStage	eventDate	eventTime	basisOfRecord	dynamicProperties	scientificName	kingdom	phylum	class	order	family	genus	taxonID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	country	countryCode	locality	ownerInstitutionCode
c418520d-2421-11e7-a02d-c1c81e3148db	4219643	c4cd7bfb-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	13:12 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"dead (non-harvest mortality)"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3957127766364	14.0229335753968	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418520e-2421-11e7-a02d-c1c81e3148db	4271258	c4cda328-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	14:00 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3842619063406	14.1194316827983	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418793a-2421-11e7-a02d-c1c81e3148db	4219645	c4cda329-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	13:54 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3762880343515	14.0621733917565	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418793b-2421-11e7-a02d-c1c81e3148db	4271295	c4cdca4c-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	13:04 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4081024512939	13.9113556317579	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418793c-2421-11e7-a02d-c1c81e3148db	4271273	c4cdca4d-2421-11e7-a02d-c1c81e3148db	F	adult	2012-03-18	14:14 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4157984079909	14.053248678837	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418a05e-2421-11e7-a02d-c1c81e3148db	4271265	c4cdca4e-2421-11e7-a02d-c1c81e3148db	M	adult	2012-03-18	13:22 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4015414629469	14.0276428853119	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418a05f-2421-11e7-a02d-c1c81e3148db	4271261	c4cdf170-2421-11e7-a02d-c1c81e3148db	F	juvenile	2012-03-18	13:18 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3999539418294	14.0010433722575	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418a060-2421-11e7-a02d-c1c81e3148db	4271284	c4cdf171-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	13:28 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3716850773447	14.042851337194	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418c7a0-2421-11e7-a02d-c1c81e3148db	4271271	c4cdf172-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	12:54 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4162153132026	14.0414242142676	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418c7a1-2421-11e7-a02d-c1c81e3148db	4271270	c4ce189e-2421-11e7-a02d-c1c81e3148db	F	juvenile	2012-03-18	14:41 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4164526281096	13.9501091640084	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418eec4-2421-11e7-a02d-c1c81e3148db	4271268	c4ce189f-2421-11e7-a02d-c1c81e3148db	M	juvenile	2012-03-18	13:42 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.3870691776503	13.9474575080959	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418eec5-2421-11e7-a02d-c1c81e3148db	4271259	c4ce18a0-2421-11e7-a02d-c1c81e3148db	F	juvenile	2012-03-18	12:08 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4035571158856	14.0800181796678	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c418eec6-2421-11e7-a02d-c1c81e3148db	4271260	c4ce3fcc-2421-11e7-a02d-c1c81e3148db	F	adult	2012-03-18	11:45 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"alive"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4037442255297	14.0107809711835	WGS84	1000	Norway	NO	Indre Namdalen	NINA
c41915f2-2421-11e7-a02d-c1c81e3148db	4271262	c4ce3fcd-2421-11e7-a02d-c1c81e3148db	F	juvenile	2012-03-18	11:54 CEST	HumanObservation	{"event":"radiotelemetry/recapture","state":"dead (non-harvest mortality)"}	Lagopus muta	Animalia	Chordata	Aves	Galliformes	Tetraonidae	Lagopus	http://www.artsdatabanken.no/Taxon/3991	64.4044861979436	14.0197170231385	WGS84	20	Norway	NO	Indre Namdalen	NINA
